product_id,product_name,category,unit_price,stock
1,Miniket Rice 5kg,Grocery,450,500
2,Nazirshail Rice 5kg,Grocery,520,300
3,Rupchanda Soyabean Oil 1L,Grocery,175,800
4,Fresh Sugar 1kg,Grocery,95,500
5,ACI Pure Salt 1kg,Grocery,38,600
6,Broiler Chicken (whole),Meat,230,200
7,Deshi Egg (12 pcs),Poultry,160,250
8,Farm Fresh Milk 1L,Dairy,90,400
9,Bru Coffee 200g,Beverages,330,200
10,Taaza Black Tea 400g,Beverages,190,500
11,Horlicks 500g,Health,480,180
12,Oral Saline (ORS),Health,12,2000
13,Vim Dishwashing Bar,Home Care,35,900
14,Wheel Washing Powder 1kg,Home Care,95,500
15,Lifebuoy Soap 100g,Personal Care,38,1200
16,Lux Soap 100g,Personal Care,40,1100
17,Sunsilk Shampoo 180ml,Personal Care,160,300
18,Clear Men Shampoo 180ml,Personal Care,190,250
19,Bashundhara Tissue,Home Care,35,700
20,Banglalink Internet Pack,Digital,99,999
21,Robi Internet Pack,Digital,129,999
22,GP Internet Pack,Digital,149,999
23,Onion 1kg,Grocery,80,600
24,Potato 1kg,Grocery,35,900
25,Green Chili 100g,Grocery,20,300
26,Lentil (Dal) 1kg,Grocery,120,500
27,Flour (Atta) 2kg,Grocery,110,400
28,Biscuits (Mixed),Snacks,20,1200
29,Chanachur 200g,Snacks,40,900
30,Peanut 500g,Snacks,120,350
31,Water Bottle 1L,Beverages,20,2000
32,Pepsi 1L,Beverages,75,500
33,Sprite 1L,Beverages,70,500
34,Shoes Polish,Personal Care,130,200
35,T-shirt (Men),Fashion,350,300
36,T-shirt (Women),Fashion,380,250
37,Cap,Fashion,120,200
38,Wallet (Men),Fashion,450,150
39,Ladies Bag,Fashion,600,150
40,Power Bank 10000mAh,Electronics,950,90
41,Earphones,Electronics,250,300
